group	rain	soilp	longev	lma
1	1	1	1.114551139	125.487365
1	1	1	0.516178605	82.28108313
1	1	1	0.971851703	71.02316143
1	1	1	0.672202309	94.667302
1	1	1	1.094712306	119.7016123
1	1	1	2.060629913	205.8258891
1	1	1	2.202926463	95.0385934
1	1	1	1.992507661	121.1992689
1	1	1	0.612491407	91.76984538
1	1	1	2.274573631	139.8620856
1	1	1	3.384542719	142.8893959
1	1	1	0.954992586	98.71883011
1	1	1	0.782888656	94.14559402
1	1	1	1.37847851	90.4482149
1	1	1	0.979941161	92.12977277
1	1	1	1.907216521	148.6620099
1	1	1	3.4339977	152.4754768
2	1	2	2.450755579	220.4956368
2	1	2	3.03179617	170.2158508
2	1	2	1.608792378	159.4042881
2	1	2	1.215066368	186.8529677
2	1	2	1.007395485	146.7573969
2	1	2	1.551672274	199.7560768
2	1	2	2.333458062	129.6880619
2	1	2	1.25025903	109.8499845
2	1	2	1.559552503	153.6031068
2	1	2	3.447466066	255.7996819
2	1	2	1.745822153	213.8946884
2	1	2	0.916853611	110.0778656
2	1	2	2.476851676	221.5644096
2	1	2	1.847566164	128.6174811
2	1	2	3.788785337	182.4315718
2	1	2	1.872837083	119.371321
2	1	2	1.056817509	56.93771051
3	2	1	1.643993136	218.8265433
3	2	1	1.748638355	264.180039
3	2	1	0.52820195	83.29136894
3	2	1	1.099005839	130.5569513
3	2	1	2.576321157	235.6134074
3	2	1	0.659173895	167.9577314
3	2	1	0.822810831	113.4488244
3	2	1	0.860993752	131.9471457
3	2	1	1.464873087	163.2675967
3	2	1	1.258925412	269.0295592
3	2	1	1.184131679	179.0605854
3	2	1	1.314316621	180.3432949
3	2	1	2.830088392	333.8873767
3	2	1	2.458102565	188.2781837
3	2	1	3.400948065	320.4793123
3	2	1	1.459150203	179.1018204
3	2	1	1.147624999	118.6588131
3	2	1	1.598085459	274.5996631
3	2	1	0.627335696	80.35261222
3	2	1	1.616962694	222.2286254
3	2	1	1.721472146	179.8042695
3	2	1	0.538517722	75.21422761
3	2	1	0.790496588	92.38468875
4	2	2	3.13040119	230.8341184
4	2	2	1.75468838	262.6636651
4	2	2	1.012511583	160.3245391
4	2	2	1.341528798	169.1219588
4	2	2	1.227156635	159.3675881
4	2	2	4.730423244	317.3949409
4	2	2	1.105095982	124.652215
4	2	2	0.829850768	129.7776782
4	2	2	2.424934431	217.9716441
4	2	2	1.324036629	155.7758035
4	2	2	2.485993564	302.273448
4	2	2	2.393315756	285.0361872
4	2	2	0.968277856	88.81779763
4	2	2	1.315224832	242.6610095
4	2	2	0.942757509	155.1672274
4	2	2	0.760851673	102.9674601
4	2	2	2.265687455	177.5824323
4	2	2	1.437805035	312.0326217


